complaint_text,department,category,priority,clean_text
We are concerned about the growing size of the pothole near the Hanuman Temple on Residency Road.,Roads,Pothole,Medium,we are concerned about the growing size of the pothole near the hanuman temple on residency road.
The road outside the SBI bank branch on Station Road has a dangerous pothole.,Roads,Pothole,Medium,the road outside the sbi bank branch on station road has a dangerous pothole.
Potholes in front of the local police station are an embarrassment and a daily nuisance.,Roads,Pothole,Medium,potholes in front of the local police station are an embarrassment and a daily nuisance.
The stretch of road from the railway underpass to Krishna Colony is full of vehicle-damaging potholes.,Roads,Pothole,Medium,the stretch of road from the railway underpass to krishna colony is full of vehicledamaging potholes.
We request the filling of potholes on the internal roads of Shanti Nagar colony.,Roads,Pothole,Medium,we request the filling of potholes on the internal roads of shanti nagar colony.
There's a persistent pothole near the traffic signal at City Centre junction.,Roads,Pothole,Medium,theres a persistent pothole near the traffic signal at city centre junction.
The road leading to the public park in Model Town is badly damaged by potholes.,Roads,Pothole,Medium,the road leading to the public park in model town is badly damaged by potholes.
Deep potholes have formed on the road adjacent to the municipal school playground.,Roads,Pothole,Medium,deep potholes have formed on the road adjacent to the municipal school playground.
The entire bypass road needs immediate pothole repair before the monsoon season intensifies.,Roads,Pothole,Medium,the entire bypass road needs immediate pothole repair before the monsoon season intensifies.
Vehicles are constantly swerving to avoid a massive pothole near the fuel station on bypass road.,Roads,Pothole,Medium,vehicles are constantly swerving to avoid a massive pothole near the fuel station on bypass road.
"Potholes on the road connecting two major localities, causing discomfort and damage to vehicles.",Roads,Pothole,Medium,"potholes on the road connecting two major localities, causing discomfort and damage to vehicles."
The road surface near the water tank in Surya Vihar is completely broken with potholes.,Roads,Pothole,Medium,the road surface near the water tank in surya vihar is completely broken with potholes.
"We appeal for repair of potholes on the road leading to the industrial estate, affecting daily commute.",Roads,Pothole,Medium,"we appeal for repair of potholes on the road leading to the industrial estate, affecting daily commute."
Several small but deep potholes are present on the service lane along the main highway.,Roads,Pothole,Medium,several small but deep potholes are present on the service lane along the main highway.
"The entrance to our society, Rose Garden Apartments, is marked by a large, unavoidable pothole.",Roads,Pothole,Medium,"the entrance to our society, rose garden apartments, is marked by a large, unavoidable pothole."
"The road stretch in front of the district court complex is full of potholes, posing a risk to visitors.",Roads,Pothole,Medium,"the road stretch in front of the district court complex is full of potholes, posing a risk to visitors."
Potholes on the road near the community primary health center are a major concern.,Roads,Pothole,Medium,potholes on the road near the community primary health center are a major concern.
The main road through Gulmohar Colony is becoming increasingly dangerous due to numerous potholes.,Roads,Pothole,Medium,the main road through gulmohar colony is becoming increasingly dangerous due to numerous potholes.
We request action on the potholes causing severe jolts to vehicles on Vidhan Sabha Marg.,Roads,Pothole,Medium,we request action on the potholes causing severe jolts to vehicles on vidhan sabha marg.
"The stretch near the public library has deep potholes, often hidden by water during rains.",Roads,Pothole,Medium,"the stretch near the public library has deep potholes, often hidden by water during rains."
